[02/28 21:18:44] cifar10-resnet56 INFO: Params: 0.86 M => 0.47 M, (Param RR 45.32%)
[02/28 21:18:44] cifar10-resnet56 INFO: FLOPs: 127.12 M => 63.58 M (FLOPs RR 49.99%, Speed-Up 2.00X )
[02/28 21:18:49] cifar10-resnet56 INFO: Epoch 1/300, Acc=0.3741, Val Loss=1.6759, lr=0.1000
[02/28 21:18:54] cifar10-resnet56 INFO: Epoch 2/300, Acc=0.4810, Val Loss=1.5238, lr=0.1000
[02/28 21:18:59] cifar10-resnet56 INFO: Epoch 3/300, Acc=0.6509, Val Loss=0.9856, lr=0.1000
[02/28 21:19:04] cifar10-resnet56 INFO: Epoch 4/300, Acc=0.6892, Val Loss=0.8925, lr=0.1000
[02/28 21:19:09] cifar10-resnet56 INFO: Epoch 5/300, Acc=0.6733, Val Loss=1.0628, lr=0.1000
[02/28 21:19:14] cifar10-resnet56 INFO: Epoch 6/300, Acc=0.6913, Val Loss=0.9442, lr=0.1000
[02/28 21:19:18] cifar10-resnet56 INFO: Epoch 7/300, Acc=0.7430, Val Loss=0.7654, lr=0.1000
[02/28 21:19:23] cifar10-resnet56 INFO: Epoch 8/300, Acc=0.7632, Val Loss=0.7097, lr=0.1000
[02/28 21:19:28] cifar10-resnet56 INFO: Epoch 9/300, Acc=0.7368, Val Loss=0.7836, lr=0.1000
[02/28 21:19:33] cifar10-resnet56 INFO: Epoch 10/300, Acc=0.6468, Val Loss=1.1948, lr=0.1000
[02/28 21:19:38] cifar10-resnet56 INFO: Epoch 11/300, Acc=0.7285, Val Loss=0.8393, lr=0.1000
[02/28 21:19:43] cifar10-resnet56 INFO: Epoch 12/300, Acc=0.7655, Val Loss=0.7285, lr=0.1000
[02/28 21:19:48] cifar10-resnet56 INFO: Epoch 13/300, Acc=0.6995, Val Loss=0.9350, lr=0.1000
[02/28 21:19:53] cifar10-resnet56 INFO: Epoch 14/300, Acc=0.6887, Val Loss=1.0607, lr=0.1000
[02/28 21:19:57] cifar10-resnet56 INFO: Epoch 15/300, Acc=0.7318, Val Loss=0.8332, lr=0.1000
[02/28 21:20:02] cifar10-resnet56 INFO: Epoch 16/300, Acc=0.8123, Val Loss=0.5619, lr=0.1000
[02/28 21:20:07] cifar10-resnet56 INFO: Epoch 17/300, Acc=0.8015, Val Loss=0.5923, lr=0.1000
