[03/02 20:57:16] cifar10-resnet56 INFO: Load pruned model from eccv_abla_r56_base/1/cifar10/prune/cifar10-group_norm_sl_itosp-resnet56-pruning-rate-0.5/pruned_ckpts/pruned_model_epoch_70.pth
[03/02 20:57:17] cifar10-resnet56 INFO: Params: 0.86 M => 0.50 M, (Param RR 41.85%)
[03/02 20:57:17] cifar10-resnet56 INFO: FLOPs: 127.12 M => 63.36 M (FLOPs RR 50.15%, Speed-Up 2.01X )
[03/02 20:57:21] cifar10-resnet56 INFO: Epoch 71/300, Acc=0.7895, Val Loss=0.6351, lr=0.1000
[03/02 20:57:26] cifar10-resnet56 INFO: Epoch 72/300, Acc=0.7919, Val Loss=0.6321, lr=0.1000
[03/02 20:57:30] cifar10-resnet56 INFO: Epoch 73/300, Acc=0.7784, Val Loss=0.7272, lr=0.1000
[03/02 20:57:35] cifar10-resnet56 INFO: Epoch 74/300, Acc=0.8190, Val Loss=0.5394, lr=0.1000
[03/02 20:57:40] cifar10-resnet56 INFO: Epoch 75/300, Acc=0.8006, Val Loss=0.6209, lr=0.1000
[03/02 20:57:44] cifar10-resnet56 INFO: Epoch 76/300, Acc=0.7497, Val Loss=0.7656, lr=0.1000
[03/02 20:57:49] cifar10-resnet56 INFO: Epoch 77/300, Acc=0.7755, Val Loss=0.7222, lr=0.1000
[03/02 20:57:53] cifar10-resnet56 INFO: Epoch 78/300, Acc=0.8160, Val Loss=0.5591, lr=0.1000
[03/02 20:57:58] cifar10-resnet56 INFO: Epoch 79/300, Acc=0.7469, Val Loss=0.8232, lr=0.1000
[03/02 20:58:02] cifar10-resnet56 INFO: Epoch 80/300, Acc=0.7890, Val Loss=0.6532, lr=0.1000
[03/02 20:58:07] cifar10-resnet56 INFO: Epoch 81/300, Acc=0.7482, Val Loss=0.8148, lr=0.1000
[03/02 20:58:11] cifar10-resnet56 INFO: Epoch 82/300, Acc=0.8088, Val Loss=0.5721, lr=0.1000
[03/02 20:58:16] cifar10-resnet56 INFO: Epoch 83/300, Acc=0.8160, Val Loss=0.5742, lr=0.1000
[03/02 20:58:21] cifar10-resnet56 INFO: Epoch 84/300, Acc=0.8091, Val Loss=0.6006, lr=0.1000
[03/02 20:58:25] cifar10-resnet56 INFO: Epoch 85/300, Acc=0.8028, Val Loss=0.5884, lr=0.1000
[03/02 20:58:30] cifar10-resnet56 INFO: Epoch 86/300, Acc=0.8226, Val Loss=0.5257, lr=0.1000
[03/02 20:58:34] cifar10-resnet56 INFO: Epoch 87/300, Acc=0.8219, Val Loss=0.5172, lr=0.1000
[03/02 20:58:39] cifar10-resnet56 INFO: Epoch 88/300, Acc=0.8381, Val Loss=0.4775, lr=0.1000
[03/02 20:58:43] cifar10-resnet56 INFO: Epoch 89/300, Acc=0.8295, Val Loss=0.5022, lr=0.1000
[03/02 20:58:48] cifar10-resnet56 INFO: Epoch 90/300, Acc=0.8122, Val Loss=0.5907, lr=0.0200
[03/02 20:58:52] cifar10-resnet56 INFO: Epoch 91/300, Acc=0.9029, Val Loss=0.2771, lr=0.0200
[03/02 20:58:57] cifar10-resnet56 INFO: Epoch 92/300, Acc=0.9051, Val Loss=0.2784, lr=0.0200
[03/02 20:59:01] cifar10-resnet56 INFO: Epoch 93/300, Acc=0.9054, Val Loss=0.2794, lr=0.0200
[03/02 20:59:06] cifar10-resnet56 INFO: Epoch 94/300, Acc=0.9104, Val Loss=0.2640, lr=0.0200
[03/02 20:59:10] cifar10-resnet56 INFO: Epoch 95/300, Acc=0.9092, Val Loss=0.2808, lr=0.0200
[03/02 20:59:15] cifar10-resnet56 INFO: Epoch 96/300, Acc=0.9036, Val Loss=0.2893, lr=0.0200
[03/02 20:59:20] cifar10-resnet56 INFO: Epoch 97/300, Acc=0.9002, Val Loss=0.3032, lr=0.0200
[03/02 20:59:24] cifar10-resnet56 INFO: Epoch 98/300, Acc=0.8993, Val Loss=0.3224, lr=0.0200
[03/02 20:59:29] cifar10-resnet56 INFO: Epoch 99/300, Acc=0.9029, Val Loss=0.3077, lr=0.0200
[03/02 20:59:33] cifar10-resnet56 INFO: Epoch 100/300, Acc=0.9078, Val Loss=0.2823, lr=0.0200
[03/02 20:59:38] cifar10-resnet56 INFO: Epoch 101/300, Acc=0.8953, Val Loss=0.3254, lr=0.0200
[03/02 20:59:42] cifar10-resnet56 INFO: Epoch 102/300, Acc=0.8998, Val Loss=0.3161, lr=0.0200
[03/02 20:59:47] cifar10-resnet56 INFO: Epoch 103/300, Acc=0.9030, Val Loss=0.3025, lr=0.0200
[03/02 20:59:51] cifar10-resnet56 INFO: Epoch 104/300, Acc=0.8897, Val Loss=0.3455, lr=0.0200
[03/02 20:59:56] cifar10-resnet56 INFO: Epoch 105/300, Acc=0.8691, Val Loss=0.4058, lr=0.0200
