[02/28 11:16:06] cifar10-resnet56 INFO: Params: 0.86 M => 0.45 M, (Param RR 46.93%)
[02/28 11:16:06] cifar10-resnet56 INFO: FLOPs: 127.12 M => 63.52 M (FLOPs RR 50.03%, Speed-Up 2.00X )
[02/28 11:16:12] cifar10-resnet56 INFO: Epoch 51/300, Acc=0.7787, Val Loss=0.6624, lr=0.1000
[02/28 11:16:17] cifar10-resnet56 INFO: Epoch 52/300, Acc=0.8039, Val Loss=0.5863, lr=0.1000
[02/28 11:16:21] cifar10-resnet56 INFO: Epoch 53/300, Acc=0.7405, Val Loss=0.8709, lr=0.1000
[02/28 11:16:26] cifar10-resnet56 INFO: Epoch 54/300, Acc=0.7325, Val Loss=0.8787, lr=0.1000
[02/28 11:16:31] cifar10-resnet56 INFO: Epoch 55/300, Acc=0.8254, Val Loss=0.5204, lr=0.1000
[02/28 11:16:36] cifar10-resnet56 INFO: Epoch 56/300, Acc=0.7758, Val Loss=0.6891, lr=0.1000
[02/28 11:16:41] cifar10-resnet56 INFO: Epoch 57/300, Acc=0.7921, Val Loss=0.6574, lr=0.1000
[02/28 11:16:46] cifar10-resnet56 INFO: Epoch 58/300, Acc=0.8110, Val Loss=0.5725, lr=0.1000
[02/28 11:16:51] cifar10-resnet56 INFO: Epoch 59/300, Acc=0.7946, Val Loss=0.6473, lr=0.1000
[02/28 11:16:56] cifar10-resnet56 INFO: Epoch 60/300, Acc=0.8133, Val Loss=0.5691, lr=0.1000
[02/28 11:17:00] cifar10-resnet56 INFO: Epoch 61/300, Acc=0.8170, Val Loss=0.5577, lr=0.1000
[02/28 11:17:05] cifar10-resnet56 INFO: Epoch 62/300, Acc=0.7982, Val Loss=0.5941, lr=0.1000
[02/28 11:17:10] cifar10-resnet56 INFO: Epoch 63/300, Acc=0.8072, Val Loss=0.6000, lr=0.1000
[02/28 11:17:15] cifar10-resnet56 INFO: Epoch 64/300, Acc=0.8389, Val Loss=0.4703, lr=0.1000
[02/28 11:17:20] cifar10-resnet56 INFO: Epoch 65/300, Acc=0.7659, Val Loss=0.6901, lr=0.1000
[02/28 11:17:25] cifar10-resnet56 INFO: Epoch 66/300, Acc=0.7898, Val Loss=0.6321, lr=0.1000
[02/28 11:17:30] cifar10-resnet56 INFO: Epoch 67/300, Acc=0.8182, Val Loss=0.5391, lr=0.1000
[02/28 11:17:35] cifar10-resnet56 INFO: Epoch 68/300, Acc=0.7979, Val Loss=0.6108, lr=0.1000
[02/28 11:17:39] cifar10-resnet56 INFO: Epoch 69/300, Acc=0.7951, Val Loss=0.6506, lr=0.1000
[02/28 11:17:44] cifar10-resnet56 INFO: Epoch 70/300, Acc=0.7952, Val Loss=0.6226, lr=0.1000
[02/28 11:17:49] cifar10-resnet56 INFO: Epoch 71/300, Acc=0.8119, Val Loss=0.5940, lr=0.1000
[02/28 11:17:54] cifar10-resnet56 INFO: Epoch 72/300, Acc=0.7976, Val Loss=0.6135, lr=0.1000
[02/28 11:17:59] cifar10-resnet56 INFO: Epoch 73/300, Acc=0.8027, Val Loss=0.6079, lr=0.1000
[02/28 11:18:04] cifar10-resnet56 INFO: Epoch 74/300, Acc=0.7713, Val Loss=0.7491, lr=0.1000
[02/28 11:18:09] cifar10-resnet56 INFO: Epoch 75/300, Acc=0.8146, Val Loss=0.5603, lr=0.1000
[02/28 11:18:14] cifar10-resnet56 INFO: Epoch 76/300, Acc=0.8147, Val Loss=0.5520, lr=0.1000
[02/28 11:18:19] cifar10-resnet56 INFO: Epoch 77/300, Acc=0.7934, Val Loss=0.6442, lr=0.1000
[02/28 11:18:24] cifar10-resnet56 INFO: Epoch 78/300, Acc=0.7731, Val Loss=0.7657, lr=0.1000
[02/28 11:18:28] cifar10-resnet56 INFO: Epoch 79/300, Acc=0.7503, Val Loss=0.7966, lr=0.1000
[02/28 11:18:33] cifar10-resnet56 INFO: Epoch 80/300, Acc=0.7864, Val Loss=0.6412, lr=0.1000
[02/28 11:18:38] cifar10-resnet56 INFO: Epoch 81/300, Acc=0.8183, Val Loss=0.5558, lr=0.1000
[02/28 11:18:43] cifar10-resnet56 INFO: Epoch 82/300, Acc=0.7497, Val Loss=0.7900, lr=0.1000
[02/28 11:18:48] cifar10-resnet56 INFO: Epoch 83/300, Acc=0.8003, Val Loss=0.6345, lr=0.1000
[02/28 11:18:53] cifar10-resnet56 INFO: Epoch 84/300, Acc=0.7881, Val Loss=0.6572, lr=0.1000
[02/28 11:18:58] cifar10-resnet56 INFO: Epoch 85/300, Acc=0.8118, Val Loss=0.5524, lr=0.1000
[02/28 11:19:03] cifar10-resnet56 INFO: Epoch 86/300, Acc=0.7684, Val Loss=0.7090, lr=0.1000
[02/28 11:19:08] cifar10-resnet56 INFO: Epoch 87/300, Acc=0.7916, Val Loss=0.6300, lr=0.1000
[02/28 11:19:13] cifar10-resnet56 INFO: Epoch 88/300, Acc=0.8023, Val Loss=0.5763, lr=0.1000
[02/28 11:19:18] cifar10-resnet56 INFO: Epoch 89/300, Acc=0.8243, Val Loss=0.5079, lr=0.1000
[02/28 11:19:22] cifar10-resnet56 INFO: Epoch 90/300, Acc=0.7851, Val Loss=0.6510, lr=0.0200
[02/28 11:19:27] cifar10-resnet56 INFO: Epoch 91/300, Acc=0.9013, Val Loss=0.2962, lr=0.0200
[02/28 11:19:32] cifar10-resnet56 INFO: Epoch 92/300, Acc=0.9051, Val Loss=0.2880, lr=0.0200
[02/28 11:19:37] cifar10-resnet56 INFO: Epoch 93/300, Acc=0.9088, Val Loss=0.2818, lr=0.0200
[02/28 11:19:42] cifar10-resnet56 INFO: Epoch 94/300, Acc=0.9024, Val Loss=0.2940, lr=0.0200
[02/28 11:19:47] cifar10-resnet56 INFO: Epoch 95/300, Acc=0.9081, Val Loss=0.2773, lr=0.0200
[02/28 11:19:52] cifar10-resnet56 INFO: Epoch 96/300, Acc=0.9022, Val Loss=0.3085, lr=0.0200
[02/28 11:19:56] cifar10-resnet56 INFO: Epoch 97/300, Acc=0.9011, Val Loss=0.3135, lr=0.0200
[02/28 11:20:01] cifar10-resnet56 INFO: Epoch 98/300, Acc=0.9045, Val Loss=0.2936, lr=0.0200
[02/28 11:20:06] cifar10-resnet56 INFO: Epoch 99/300, Acc=0.8998, Val Loss=0.3108, lr=0.0200
[02/28 11:20:11] cifar10-resnet56 INFO: Epoch 100/300, Acc=0.8985, Val Loss=0.3138, lr=0.0200
[02/28 11:20:16] cifar10-resnet56 INFO: Epoch 101/300, Acc=0.8956, Val Loss=0.3103, lr=0.0200
[02/28 11:20:21] cifar10-resnet56 INFO: Epoch 102/300, Acc=0.8918, Val Loss=0.3423, lr=0.0200
[02/28 11:20:26] cifar10-resnet56 INFO: Epoch 103/300, Acc=0.8943, Val Loss=0.3256, lr=0.0200
[02/28 11:20:31] cifar10-resnet56 INFO: Epoch 104/300, Acc=0.9051, Val Loss=0.3038, lr=0.0200
[02/28 11:20:36] cifar10-resnet56 INFO: Epoch 105/300, Acc=0.8973, Val Loss=0.3154, lr=0.0200
[02/28 11:20:40] cifar10-resnet56 INFO: Epoch 106/300, Acc=0.8865, Val Loss=0.3631, lr=0.0200
