[03/02 15:35:30] cifar10-resnet56 INFO: Load pruned model from eccv_abla_r56_base/1/cifar10/prune/cifar10-group_norm_sl_itosp-resnet56-pruning-rate-0.5/pruned_ckpts/pruned_model_epoch_150.pth
[03/02 15:35:30] cifar10-resnet56 INFO: Params: 0.86 M => 0.49 M, (Param RR 42.53%)
[03/02 15:35:30] cifar10-resnet56 INFO: FLOPs: 127.12 M => 63.03 M (FLOPs RR 50.42%, Speed-Up 2.02X )
[03/02 15:35:35] cifar10-resnet56 INFO: Epoch 151/300, Acc=0.8931, Val Loss=0.3368, lr=0.0200
[03/02 15:35:39] cifar10-resnet56 INFO: Epoch 152/300, Acc=0.8791, Val Loss=0.3884, lr=0.0200
[03/02 15:35:44] cifar10-resnet56 INFO: Epoch 153/300, Acc=0.8916, Val Loss=0.3368, lr=0.0200
[03/02 15:35:48] cifar10-resnet56 INFO: Epoch 154/300, Acc=0.8837, Val Loss=0.3831, lr=0.0200
[03/02 15:35:53] cifar10-resnet56 INFO: Epoch 155/300, Acc=0.8943, Val Loss=0.3364, lr=0.0200
[03/02 15:35:57] cifar10-resnet56 INFO: Epoch 156/300, Acc=0.8936, Val Loss=0.3339, lr=0.0200
[03/02 15:36:02] cifar10-resnet56 INFO: Epoch 157/300, Acc=0.8901, Val Loss=0.3511, lr=0.0200
[03/02 15:36:06] cifar10-resnet56 INFO: Epoch 158/300, Acc=0.8683, Val Loss=0.4387, lr=0.0200
[03/02 15:36:11] cifar10-resnet56 INFO: Epoch 159/300, Acc=0.8939, Val Loss=0.3370, lr=0.0200
[03/02 15:36:16] cifar10-resnet56 INFO: Epoch 160/300, Acc=0.8888, Val Loss=0.3604, lr=0.0200
[03/02 15:36:20] cifar10-resnet56 INFO: Epoch 161/300, Acc=0.8959, Val Loss=0.3333, lr=0.0200
[03/02 15:36:25] cifar10-resnet56 INFO: Epoch 162/300, Acc=0.8898, Val Loss=0.3557, lr=0.0200
[03/02 15:36:29] cifar10-resnet56 INFO: Epoch 163/300, Acc=0.8936, Val Loss=0.3388, lr=0.0200
[03/02 15:36:34] cifar10-resnet56 INFO: Epoch 164/300, Acc=0.8938, Val Loss=0.3612, lr=0.0200
[03/02 15:36:38] cifar10-resnet56 INFO: Epoch 165/300, Acc=0.8829, Val Loss=0.3995, lr=0.0200
[03/02 15:36:43] cifar10-resnet56 INFO: Epoch 166/300, Acc=0.8869, Val Loss=0.3671, lr=0.0200
[03/02 15:36:47] cifar10-resnet56 INFO: Epoch 167/300, Acc=0.8951, Val Loss=0.3272, lr=0.0200
[03/02 15:36:52] cifar10-resnet56 INFO: Epoch 168/300, Acc=0.8875, Val Loss=0.3739, lr=0.0200
[03/02 15:36:56] cifar10-resnet56 INFO: Epoch 169/300, Acc=0.8794, Val Loss=0.3782, lr=0.0200
[03/02 15:37:01] cifar10-resnet56 INFO: Epoch 170/300, Acc=0.8972, Val Loss=0.3319, lr=0.0200
[03/02 15:37:06] cifar10-resnet56 INFO: Epoch 171/300, Acc=0.9046, Val Loss=0.3071, lr=0.0200
[03/02 15:37:10] cifar10-resnet56 INFO: Epoch 172/300, Acc=0.8864, Val Loss=0.3781, lr=0.0200
[03/02 15:37:15] cifar10-resnet56 INFO: Epoch 173/300, Acc=0.8908, Val Loss=0.3584, lr=0.0200
[03/02 15:37:19] cifar10-resnet56 INFO: Epoch 174/300, Acc=0.8627, Val Loss=0.4719, lr=0.0200
[03/02 15:37:24] cifar10-resnet56 INFO: Epoch 175/300, Acc=0.8996, Val Loss=0.3211, lr=0.0200
[03/02 15:37:28] cifar10-resnet56 INFO: Epoch 176/300, Acc=0.8994, Val Loss=0.3222, lr=0.0200
[03/02 15:37:33] cifar10-resnet56 INFO: Epoch 177/300, Acc=0.8875, Val Loss=0.3596, lr=0.0200
