[03/02 15:10:25] cifar10-resnet56 INFO: Load pruned model from eccv_abla_r56_base/1/cifar10/prune/cifar10-group_norm_sl_itosp-resnet56-pruning-rate-0.5/pruned_ckpts/pruned_model_epoch_130.pth
[03/02 15:10:25] cifar10-resnet56 INFO: Params: 0.86 M => 0.49 M, (Param RR 42.64%)
[03/02 15:10:25] cifar10-resnet56 INFO: FLOPs: 127.12 M => 62.97 M (FLOPs RR 50.47%, Speed-Up 2.02X )
[03/02 15:10:30] cifar10-resnet56 INFO: Epoch 131/300, Acc=0.8777, Val Loss=0.3877, lr=0.0200
[03/02 15:10:34] cifar10-resnet56 INFO: Epoch 132/300, Acc=0.8948, Val Loss=0.3563, lr=0.0200
[03/02 15:10:39] cifar10-resnet56 INFO: Epoch 133/300, Acc=0.8758, Val Loss=0.4072, lr=0.0200
[03/02 15:10:44] cifar10-resnet56 INFO: Epoch 134/300, Acc=0.8775, Val Loss=0.3943, lr=0.0200
[03/02 15:10:48] cifar10-resnet56 INFO: Epoch 135/300, Acc=0.8843, Val Loss=0.3872, lr=0.0200
[03/02 15:10:53] cifar10-resnet56 INFO: Epoch 136/300, Acc=0.9016, Val Loss=0.3174, lr=0.0200
[03/02 15:10:57] cifar10-resnet56 INFO: Epoch 137/300, Acc=0.8763, Val Loss=0.4135, lr=0.0200
[03/02 15:11:02] cifar10-resnet56 INFO: Epoch 138/300, Acc=0.8746, Val Loss=0.4261, lr=0.0200
[03/02 15:11:06] cifar10-resnet56 INFO: Epoch 139/300, Acc=0.8939, Val Loss=0.3371, lr=0.0200
[03/02 15:11:11] cifar10-resnet56 INFO: Epoch 140/300, Acc=0.8937, Val Loss=0.3255, lr=0.0200
[03/02 15:11:15] cifar10-resnet56 INFO: Epoch 141/300, Acc=0.8913, Val Loss=0.3581, lr=0.0200
[03/02 15:11:20] cifar10-resnet56 INFO: Epoch 142/300, Acc=0.8983, Val Loss=0.3229, lr=0.0200
[03/02 15:11:24] cifar10-resnet56 INFO: Epoch 143/300, Acc=0.9006, Val Loss=0.3173, lr=0.0200
[03/02 15:11:29] cifar10-resnet56 INFO: Epoch 144/300, Acc=0.8824, Val Loss=0.3824, lr=0.0200
[03/02 15:11:33] cifar10-resnet56 INFO: Epoch 145/300, Acc=0.8939, Val Loss=0.3473, lr=0.0200
[03/02 15:11:38] cifar10-resnet56 INFO: Epoch 146/300, Acc=0.8881, Val Loss=0.3421, lr=0.0200
[03/02 15:11:42] cifar10-resnet56 INFO: Epoch 147/300, Acc=0.8845, Val Loss=0.3818, lr=0.0200
[03/02 15:11:47] cifar10-resnet56 INFO: Epoch 148/300, Acc=0.8921, Val Loss=0.3415, lr=0.0200
[03/02 15:11:52] cifar10-resnet56 INFO: Epoch 149/300, Acc=0.8939, Val Loss=0.3274, lr=0.0200
[03/02 15:11:56] cifar10-resnet56 INFO: Epoch 150/300, Acc=0.8876, Val Loss=0.3527, lr=0.0200
[03/02 15:12:01] cifar10-resnet56 INFO: Epoch 151/300, Acc=0.8910, Val Loss=0.3741, lr=0.0200
[03/02 15:12:05] cifar10-resnet56 INFO: Epoch 152/300, Acc=0.8664, Val Loss=0.4416, lr=0.0200
[03/02 15:12:10] cifar10-resnet56 INFO: Epoch 153/300, Acc=0.8921, Val Loss=0.3378, lr=0.0200
[03/02 15:12:14] cifar10-resnet56 INFO: Epoch 154/300, Acc=0.8623, Val Loss=0.4780, lr=0.0200
[03/02 15:12:19] cifar10-resnet56 INFO: Epoch 155/300, Acc=0.8868, Val Loss=0.3702, lr=0.0200
