[02/28 10:54:45] cifar10-resnet56 INFO: Params: 0.86 M => 0.47 M, (Param RR 45.52%)
[02/28 10:54:45] cifar10-resnet56 INFO: FLOPs: 127.12 M => 63.54 M (FLOPs RR 50.01%, Speed-Up 2.00X )
[02/28 10:54:50] cifar10-resnet56 INFO: Epoch 41/300, Acc=0.7932, Val Loss=0.6208, lr=0.1000
[02/28 10:54:55] cifar10-resnet56 INFO: Epoch 42/300, Acc=0.7364, Val Loss=0.8239, lr=0.1000
[02/28 10:55:00] cifar10-resnet56 INFO: Epoch 43/300, Acc=0.7387, Val Loss=0.9038, lr=0.1000
[02/28 10:55:05] cifar10-resnet56 INFO: Epoch 44/300, Acc=0.8185, Val Loss=0.5428, lr=0.1000
[02/28 10:55:10] cifar10-resnet56 INFO: Epoch 45/300, Acc=0.7947, Val Loss=0.6360, lr=0.1000
[02/28 10:55:15] cifar10-resnet56 INFO: Epoch 46/300, Acc=0.7230, Val Loss=0.9381, lr=0.1000
[02/28 10:55:20] cifar10-resnet56 INFO: Epoch 47/300, Acc=0.7804, Val Loss=0.6876, lr=0.1000
[02/28 10:55:25] cifar10-resnet56 INFO: Epoch 48/300, Acc=0.7701, Val Loss=0.7154, lr=0.1000
[02/28 10:55:30] cifar10-resnet56 INFO: Epoch 49/300, Acc=0.7799, Val Loss=0.6679, lr=0.1000
[02/28 10:55:35] cifar10-resnet56 INFO: Epoch 50/300, Acc=0.8355, Val Loss=0.4840, lr=0.1000
[02/28 10:55:39] cifar10-resnet56 INFO: Epoch 51/300, Acc=0.8262, Val Loss=0.5281, lr=0.1000
[02/28 10:55:44] cifar10-resnet56 INFO: Epoch 52/300, Acc=0.8187, Val Loss=0.5439, lr=0.1000
[02/28 10:55:49] cifar10-resnet56 INFO: Epoch 53/300, Acc=0.7886, Val Loss=0.6509, lr=0.1000
[02/28 10:55:54] cifar10-resnet56 INFO: Epoch 54/300, Acc=0.6679, Val Loss=1.1465, lr=0.1000
[02/28 10:55:59] cifar10-resnet56 INFO: Epoch 55/300, Acc=0.7311, Val Loss=0.8438, lr=0.1000
[02/28 10:56:04] cifar10-resnet56 INFO: Epoch 56/300, Acc=0.8097, Val Loss=0.5679, lr=0.1000
[02/28 10:56:09] cifar10-resnet56 INFO: Epoch 57/300, Acc=0.7886, Val Loss=0.6425, lr=0.1000
[02/28 10:56:14] cifar10-resnet56 INFO: Epoch 58/300, Acc=0.8184, Val Loss=0.5336, lr=0.1000
[02/28 10:56:19] cifar10-resnet56 INFO: Epoch 59/300, Acc=0.7991, Val Loss=0.6081, lr=0.1000
[02/28 10:56:24] cifar10-resnet56 INFO: Epoch 60/300, Acc=0.8025, Val Loss=0.6042, lr=0.1000
[02/28 10:56:29] cifar10-resnet56 INFO: Epoch 61/300, Acc=0.7794, Val Loss=0.6535, lr=0.1000
[02/28 10:56:34] cifar10-resnet56 INFO: Epoch 62/300, Acc=0.7456, Val Loss=0.8245, lr=0.1000
[02/28 10:56:39] cifar10-resnet56 INFO: Epoch 63/300, Acc=0.8332, Val Loss=0.5046, lr=0.1000
[02/28 10:56:44] cifar10-resnet56 INFO: Epoch 64/300, Acc=0.8027, Val Loss=0.6036, lr=0.1000
[02/28 10:56:49] cifar10-resnet56 INFO: Epoch 65/300, Acc=0.7927, Val Loss=0.6492, lr=0.1000
[02/28 10:56:54] cifar10-resnet56 INFO: Epoch 66/300, Acc=0.8049, Val Loss=0.5789, lr=0.1000
[02/28 10:56:58] cifar10-resnet56 INFO: Epoch 67/300, Acc=0.8034, Val Loss=0.5914, lr=0.1000
[02/28 10:57:03] cifar10-resnet56 INFO: Epoch 68/300, Acc=0.7975, Val Loss=0.6127, lr=0.1000
[02/28 10:57:08] cifar10-resnet56 INFO: Epoch 69/300, Acc=0.8136, Val Loss=0.5659, lr=0.1000
[02/28 10:57:13] cifar10-resnet56 INFO: Epoch 70/300, Acc=0.7441, Val Loss=0.9063, lr=0.1000
[02/28 10:57:18] cifar10-resnet56 INFO: Epoch 71/300, Acc=0.7754, Val Loss=0.6564, lr=0.1000
[02/28 10:57:23] cifar10-resnet56 INFO: Epoch 72/300, Acc=0.7194, Val Loss=0.9754, lr=0.1000
[02/28 10:57:28] cifar10-resnet56 INFO: Epoch 73/300, Acc=0.8039, Val Loss=0.5856, lr=0.1000
